filepath,thesis_group,template,timeframe,description,params
thesis_05_cross_market_correlation/T05-C_b20_e2_5_30min_1142.py,05,T05-C_b20_e2.5,30min,"Basis Extreme (w=20, entry=2.5)","adx_entry=18;adx_entry_weak=15;adx_exit=12;adx_window=14;basis_entry=2.5;basis_window=20;ema_window=20;max_cycle=50;return_window=8;roc_window=8;rsi_window=14;vol_window=26"
thesis_05_cross_market_correlation/T05-C_b20_e2_5_60min_1143.py,05,T05-C_b20_e2.5,60min,"Basis Extreme (w=20, entry=2.5)","adx_entry=16;adx_entry_weak=14;adx_exit=10;adx_window=21;basis_entry=2.5;basis_window=20;ema_window=30;max_cycle=50;return_window=14;roc_window=14;rsi_window=21;vol_window=34"
thesis_05_cross_market_correlation/T05-C_b34_e2_0_15min_1144.py,05,T05-C_b34_e2.0,15min,"Basis Extreme (w=34, entry=2.0)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=10;basis_entry=2.0;basis_window=34;ema_window=13;max_cycle=50;return_window=5;roc_window=5;rsi_window=10;vol_window=20"
thesis_05_cross_market_correlation/T05-C_b34_e2_0_30min_1145.py,05,T05-C_b34_e2.0,30min,"Basis Extreme (w=34, entry=2.0)","adx_entry=18;adx_entry_weak=15;adx_exit=12;adx_window=14;basis_entry=2.0;basis_window=34;ema_window=20;max_cycle=50;return_window=8;roc_window=8;rsi_window=14;vol_window=26"
thesis_05_cross_market_correlation/T05-C_b34_e2_0_60min_1146.py,05,T05-C_b34_e2.0,60min,"Basis Extreme (w=34, entry=2.0)","adx_entry=16;adx_entry_weak=14;adx_exit=10;adx_window=21;basis_entry=2.0;basis_window=34;ema_window=30;max_cycle=50;return_window=14;roc_window=14;rsi_window=21;vol_window=34"
thesis_05_cross_market_correlation/T05-C_b34_e2_5_15min_1147.py,05,T05-C_b34_e2.5,15min,"Basis Extreme (w=34, entry=2.5)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=10;basis_entry=2.5;basis_window=34;ema_window=13;max_cycle=50;return_window=5;roc_window=5;rsi_window=10;vol_window=20"
thesis_05_cross_market_correlation/T05-C_b34_e2_5_30min_1148.py,05,T05-C_b34_e2.5,30min,"Basis Extreme (w=34, entry=2.5)","adx_entry=18;adx_entry_weak=15;adx_exit=12;adx_window=14;basis_entry=2.5;basis_window=34;ema_window=20;max_cycle=50;return_window=8;roc_window=8;rsi_window=14;vol_window=26"
thesis_05_cross_market_correlation/T05-C_b34_e2_5_60min_1149.py,05,T05-C_b34_e2.5,60min,"Basis Extreme (w=34, entry=2.5)","adx_entry=16;adx_entry_weak=14;adx_exit=10;adx_window=21;basis_entry=2.5;basis_window=34;ema_window=30;max_cycle=50;return_window=14;roc_window=14;rsi_window=21;vol_window=34"
thesis_05_cross_market_correlation/T05-D_r3_15min_1150.py,05,T05-D_r3,15min,"DJI Consensus (roc=3)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=10;ema_window=13;max_cycle=50;return_window=5;roc_window=3;rsi_window=10;vol_window=20"
thesis_05_cross_market_correlation/T05-D_r3_30min_1151.py,05,T05-D_r3,30min,"DJI Consensus (roc=3)","adx_entry=18;adx_entry_weak=15;adx_exit=12;adx_window=14;ema_window=20;max_cycle=50;return_window=8;roc_window=3;rsi_window=14;vol_window=26"
thesis_05_cross_market_correlation/T05-D_r3_60min_1152.py,05,T05-D_r3,60min,"DJI Consensus (roc=3)","adx_entry=16;adx_entry_weak=14;adx_exit=10;adx_window=21;ema_window=30;max_cycle=50;return_window=14;roc_window=3;rsi_window=21;vol_window=34"
thesis_05_cross_market_correlation/T05-D_r5_15min_1153.py,05,T05-D_r5,15min,"DJI Consensus (roc=5)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=10;ema_window=13;max_cycle=50;return_window=5;roc_window=5;rsi_window=10;vol_window=20"
thesis_05_cross_market_correlation/T05-D_r5_30min_1154.py,05,T05-D_r5,30min,"DJI Consensus (roc=5)","adx_entry=18;adx_entry_weak=15;adx_exit=12;adx_window=14;ema_window=20;max_cycle=50;return_window=8;roc_window=5;rsi_window=14;vol_window=26"
