file,filename,universe,mode,status,n_fields,n_pv_fields,n_quarterly,n_annual,field_valid,all_fields_valid,has_universe_gate,has_financial_gate,has_liquidity_gate,has_pos_denominator,has_positions_api,n_feat_ops,n_op_ops,feat_ops,op_ops,train_sharpe,test_sharpe,train_cagr,test_cagr,cagr,sharpe,profit_factor,max_drawdown
vn_large_cap/cross_sectional/VnLargeCsEarningsRanked.py,VnLargeCsEarningsRanked.py,VN-LARGE-CAP,cross_sectional,SIMULATED,1,1,1,0,yes,True,0,0,0,1,1,1,2,safe_divide_panel,"portfolio_weights_panel,rank_cs_panel",0.8502346035727306,0.7907492827206638,0.16897906281875108,0.07110173550548038,0.12887348337879012,0.8147500863575414,1.1771128339490036,-0.2060035720335177
vn_large_cap/cross_sectional/VnLargeCsEarningsWinsorized.py,VnLargeCsEarningsWinsorized.py,VN-LARGE-CAP,cross_sectional,SIMULATED,1,1,1,0,yes,True,0,0,0,1,1,1,3,safe_divide_panel,"portfolio_weights_panel,winsorize_cs_panel,zscore_cs_panel",0.8502346035727306,0.7907492827206638,0.16897906281875108,0.07110173550548038,0.12887348337879012,0.8147500863575414,1.1771128339490036,-0.2060035720335177
vn_large_cap/cross_sectional/VnLargeCsEarningsYield.py,VnLargeCsEarningsYield.py,VN-LARGE-CAP,cross_sectional,SIMULATED,1,1,1,0,yes,True,0,0,0,1,1,1,2,safe_divide_panel,"portfolio_weights_panel,zscore_cs_panel",0.8502346035727306,0.7907492827206638,0.16897906281875108,0.07110173550548038,0.12887348337879012,0.8147500863575414,1.1771128339490036,-0.2060035720335177
vn_large_cap/cross_sectional/VnLargeCsEvAdjustedCashYield.py,VnLargeCsEvAdjustedCashYield.py,VN-LARGE-CAP,cross_sectional,SIMULATED,6,1,5,1,yes,True,0,0,0,1,1,1,2,safe_divide_panel,"portfolio_weights_panel,zscore_cs_panel",0.23809849828657323,0.26353251195159044,0.04145199382974063,0.031357749366270005,0.03784289160361842,0.24726071108737063,1.0561957478891364,-0.332952672884834
vn_large_cap/cross_sectional/VnLargeCsFcfCoveredDividend.py,VnLargeCsFcfCoveredDividend.py,VN-LARGE-CAP,cross_sectional,SIMULATED,4,1,0,4,yes,True,0,0,0,1,1,1,2,safe_divide_panel,"portfolio_weights_panel,zscore_cs_panel",1.1454127409449828,1.075244136526523,0.2750676548157276,0.13006519018802898,0.2137687882098387,1.1089669175639032,1.2098842877340912,-0.3174043428982244
vn_large_cap/cross_sectional/VnLargeCsFcfCoveredDividendNonFin.py,VnLargeCsFcfCoveredDividendNonFin.py,VN-LARGE-CAP,cross_sectional,SIMULATED,9,1,0,9,yes,True,0,0,0,1,1,1,2,safe_divide_panel,"portfolio_weights_panel,zscore_cs_panel",-0.15229495560184858,-0.1011134390713834,-0.044795768860046326,-0.013390147760036553,-0.032380343091934716,-0.13217337921353225,0.9840126688832886,-0.5271654871689808
vn_large_cap/cross_sectional/VnLargeCsFcfCoveredDividendWide.py,VnLargeCsFcfCoveredDividendWide.py,VN-LARGE-CAP,cross_sectional,,4,1,0,4,yes,True,0,0,0,1,1,1,2,safe_divide_panel,"portfolio_weights_panel,zscore_cs_panel",,,,,,,,
vn_large_cap/cross_sectional/VnLargeCsFinancialNetPayout.py,VnLargeCsFinancialNetPayout.py,VN-LARGE-CAP,cross_sectional,SIMULATED,9,1,0,9,yes,True,0,0,0,1,1,2,2,"ema_panel,safe_divide_panel","portfolio_weights_panel,zscore_cs_panel",0.6113657187916471,0.5180169088524121,0.1104002503664323,0.045071893759432324,0.09406283821984629,0.6196845152474781,1.1236064090217457,-0.19638896416031115
vn_large_cap/cross_sectional/VnLargeCsFinancialProbe.py,VnLargeCsFinancialProbe.py,VN-LARGE-CAP,cross_sectional,SIMULATED,9,1,0,9,yes,True,0,0,0,1,1,2,2,"ema_panel,safe_divide_panel","portfolio_weights_panel,zscore_cs_panel",0.6113657187916471,0.5180169088524121,0.1104002503664323,0.045071893759432324,0.09406283821984629,0.6196845152474781,1.1236064090217457,-0.19638896416031115
vn_large_cap/cross_sectional/VnLargeCsInternallyFundedCapex.py,VnLargeCsInternallyFundedCapex.py,VN-LARGE-CAP,cross_sectional,SIMULATED,6,0,0,6,yes,True,0,0,0,1,1,1,2,safe_divide_panel,"portfolio_weights_panel,zscore_cs_panel",-0.2666874723624848,-1.237178453155375,-0.03549555447271102,-0.10483300049724864,-0.06471454544366506,-0.5200635981632489,0.925614783734082,-0.31762241476242437
vn_large_cap/cross_sectional/VnLargeCsMultiYearFcfConsistency.py,VnLargeCsMultiYearFcfConsistency.py,VN-LARGE-CAP,cross_sectional,SIMULATED,3,0,0,3,yes,True,0,0,0,1,1,2,2,"ema_panel,safe_divide_panel","portfolio_weights_panel,zscore_cs_panel",-0.08698163328192628,-0.48518122610217057,-0.011101400571226105,-0.03705804264127832,0.00453990255695258,0.04061630361508546,1.0164918022538023,-0.2184871759025493
vn_large_cap/cross_sectional/VnLargeCsNetLiquidBuffer.py,VnLargeCsNetLiquidBuffer.py,VN-LARGE-CAP,cross_sectional,SIMULATED,5,0,5,0,yes,True,0,0,0,1,1,1,2,safe_divide_panel,"portfolio_weights_panel,zscore_cs_panel",-0.4958518130925036,-0.5384648265578534,-0.06454281116570759,-0.04661292563896169,-0.05894014112581991,-0.5034866850934656,0.9299584707138524,-0.2758393353332609
