filename,universe,train_sharpe,pos_years,n_years,sharpe_2022,sharpe_2024,gate
VnLargeCapexDownFlatten.py,VN-LARGE-CAP,1.397624214176846,4,5,-0.7088167313515996,0.8061801102602336,FAIL
VnMidRoaQualityTrend.py,VN-MID-CAP,1.3567009758082098,4,5,-0.7870592579073683,0.39488412469530276,FAIL
VnLargeCapexDisciplineTrend.py,VN-LARGE-CAP,1.3554937240824287,4,5,-0.7227260171777588,0.8064520132740088,FAIL
VnLargeCapexVnIndexFlatten.py,VN-LARGE-CAP,1.3554937240824287,4,5,-0.7227260171777588,0.8064520132740088,FAIL
VnLargeCapexVnIndexTrendGuard.py,VN-LARGE-CAP,1.3554937240824287,4,5,-0.7227260171777588,0.8064520132740088,FAIL
VnLargeCapexTailReturnGuard.py,VN-LARGE-CAP,1.3554937240824287,4,5,-0.7227260171777588,0.8064520132740088,FAIL
VnMidObvTrendConfirm.py,VN-MID-CAP,1.345981132520646,3,5,-1.0932713905678528,-0.0905707326896242,FAIL
VnMidTrendSlopeAccel.py,VN-MID-CAP,1.3430350550200214,4,5,-0.7967426771503487,0.36183717931115283,FAIL
VnSmallCsMomentumOnlyProbe.py,VN-SMALL-CAP,1.3273362829798785,3,5,0.6688506310819158,0.2808509597334662,FAIL
VnLargeCapex1442.py,VN-LARGE-CAP,1.3198015830217729,4,5,-0.7261417487137544,0.8118361830379915,FAIL
VnSmallCsNetPayoutPersistence.py,VN-SMALL-CAP,1.312956007598213,4,5,2.2394704065755096,2.9441684849808616,PASS
VnLargeCapexProfitGuard.py,VN-LARGE-CAP,1.3115726590605938,4,5,-0.8123054296568413,0.8155704895714695,FAIL
VnMidAroonBreakout.py,VN-MID-CAP,1.2974231228994246,3,5,-0.6211029449888015,-0.23228523285886807,FAIL
VnLargeCapexTailZscore.py,VN-LARGE-CAP,1.2895648160839979,4,5,-0.7196817311804996,0.7492925472124481,FAIL
VnLargeRoaTrend.py,VN-LARGE-CAP,1.2773668964793647,4,5,-0.3248533922567901,0.7499348749455587,FAIL
VnMidCsFinancialProbe.py,VN-MID-CAP,1.2746772274852203,5,5,1.5834786687958649,1.1242444471103636,PASS
VnMidCsFinancialNetPayout.py,VN-MID-CAP,1.2746772274852203,5,5,1.5834786687958649,1.1242444471103636,PASS
VnLargeCashConversionTrend.py,VN-LARGE-CAP,1.238117601465855,4,5,-0.6964961948697648,0.45784220401931947,FAIL
VnLargeCashEarningsSpreadTrend.py,VN-LARGE-CAP,1.238117601465855,4,5,-0.6964961948697648,0.45784220401931947,FAIL
VnSmallEpsGrowthMomentum.py,VN-SMALL-CAP,1.2199444920819218,4,5,-1.1488076353392487,0.8521620235796491,FAIL
VnLargeRsiRecoveryTrend.py,VN-LARGE-CAP,1.2146944009446061,4,5,-0.05809493081730932,0.23247846732139588,FAIL
VnMidVolumeAcceleration.py,VN-MID-CAP,1.21053602082094,4,5,-1.4338685556541197,0.3114808156042517,FAIL
VnSmallCsBreakoutHerding.py,VN-SMALL-CAP,1.2090333006962048,2,5,1.1428273259085249,-2.2391669404399672,FAIL
